name,url,type,description
Wooden Arrow,http://darksouls.wikidot.com/wooden-arrow,Ammo,"Standard Arrow.
These arrows do not fly particularly far,
nor do they inflict a terrible amount of
damage, but their cheap cost make them
useful when volume is required."
Standard Arrow,http://darksouls.wikidot.com/standard-arrow,Ammo,"Standard Arrow.
Arrow must be equipped to be fired."
Large Arrow,http://darksouls.wikidot.com/large-arrow,Ammo,"Large Arrow.
Heavier arrows cause more damage,
but have a shorter range."
Feather Arrow,http://darksouls.wikidot.com/feather-arrow,Ammo,"Red feather arrows of the Lord's hunters.
Their long range makes them effective for sniping."
Fire Arrow,http://darksouls.wikidot.com/fire-arrow,Ammo,"Arrows fired with flaming tips.
Inflicts flaming damage."
Poison Arrow,http://darksouls.wikidot.com/poison-arrow,Ammo,"Arrow with point dipped in poison.
Ensures the demise of prey in a hunt,
or the target in an assassination.
Once an enemy is poisoned, one need only wait."
Moonlight Arrow,http://darksouls.wikidot.com/moonlight-arrow,Ammo,"Arrow granted to those bound by Covenant to the Dark Sun Gwyndolin, Lord Gwyn's lastborn.
Moonlight Arrows glow silver, and inflict magic damage."
Dragonslayer Arrow,http://darksouls.wikidot.com/dragonslayer-arrow,Ammo,"Giant dragon-hunting arrows, resembling iron spears.
Used by Hawkeye Gough and his Dragonslayer, they puncture human flesh easily.
Dragonslayer Arrows can only be used with the Dragonslayer Greatbow, and vice-versa."
Gough's Great Arrow,http://darksouls.wikidot.com/gough-s-great-arrow,Ammo,"Great arrow used by Hawkeye Gough,
one of Lord Gwyn's Four Knights,
for dragon slaying. Requires Greatbow. Gough personally crafts each stone tip,
and wraps the shaft tightly with tree bark."
Wood Bolt,http://darksouls.wikidot.com/wood-bolt,Ammo,"Basic wood bolt. These bolts do not fly particularly far,
nor do they inflict a terrible amount of
damage, but their cheap cost makes them
useful when volume is required."
Standard Bolt,http://darksouls.wikidot.com/standard-bolt,Ammo,"Standard crossbow bolt.
Used mainly with the Light Crossbow. Equip crossbow with a bolt to fire."
Heavy Bolt,http://darksouls.wikidot.com/heavy-bolt,Ammo,"Large bolt.
Used mainly with the Heavy Crossbow. These weighty bolts inflict high damage, but have reduced range."
