name,url,type
Wooden Arrow,http://darksouls.wikidot.com/wooden-arrow,Ammo
Standard Arrow,http://darksouls.wikidot.com/standard-arrow,Ammo
Large Arrow,http://darksouls.wikidot.com/large-arrow,Ammo
Feather Arrow,http://darksouls.wikidot.com/feather-arrow,Ammo
Fire Arrow,http://darksouls.wikidot.com/fire-arrow,Ammo
Poison Arrow,http://darksouls.wikidot.com/poison-arrow,Ammo
Moonlight Arrow,http://darksouls.wikidot.com/moonlight-arrow,Ammo
Dragonslayer Arrow,http://darksouls.wikidot.com/dragonslayer-arrow,Ammo
Gough's Great Arrow,http://darksouls.wikidot.com/gough-s-great-arrow,Ammo
Wood Bolt,http://darksouls.wikidot.com/wood-bolt,Ammo
Standard Bolt,http://darksouls.wikidot.com/standard-bolt,Ammo
Heavy Bolt,http://darksouls.wikidot.com/heavy-bolt,Ammo
Lightning Bolt,http://darksouls.wikidot.com/lightning-bolt,Ammo
Sniper Bolt,http://darksouls.wikidot.com/sniper-bolt,Ammo
Armor Smithbox,http://darksouls.wikidot.com/armor-smithbox,Bonfire Items
Bottomless Box,http://darksouls.wikidot.com/bottomless-box,Bonfire Items
Lordvessel,http://darksouls.wikidot.com/lordvessel,Bonfire Items
Repairbox,http://darksouls.wikidot.com/repairbox,Bonfire Items
Rite of Kindling,http://darksouls.wikidot.com/rite-of-kindling,Bonfire Items
Weapon Smithbox,http://darksouls.wikidot.com/weapon-smithbox,Bonfire Items
Estus Flask,http://darksouls.wikidot.com/estus-flask,Consumables
Elizabeth's Mushroom,http://darksouls.wikidot.com/elizabeth-s-mushroom,Consumables
Bloodred Moss Clump,http://darksouls.wikidot.com/bloodred-moss-clump,Consumables
Purple Moss Clump,http://darksouls.wikidot.com/purple-moss-clump,Consumables
Blooming Purple Moss Clump,http://darksouls.wikidot.com/blooming-purple-moss-clump,Consumables
Divine Blessing,http://darksouls.wikidot.com/divine-blessing,Consumables
Egg Vermifuge,http://darksouls.wikidot.com/egg-vermifuge,Consumables
Green Blossom,http://darksouls.wikidot.com/green-blossom,Consumables
Purging Stone,http://darksouls.wikidot.com/purging-stone,Consumables
Firebomb,http://darksouls.wikidot.com/firebomb,Consumables
Black Firebomb,http://darksouls.wikidot.com/black-firebomb,Consumables
Dung pie,http://darksouls.wikidot.com/dung-pie,Consumables
Throwing Knife,http://darksouls.wikidot.com/throwing-knife,Consumables
Poison Throwing Knife,http://darksouls.wikidot.com/poison-throwing-knife,Consumables
Charcoal Pine Resin,http://darksouls.wikidot.com/charcoal-pine-resin,Consumables
Gold Pine Resin,http://darksouls.wikidot.com/gold-pine-resin,Consumables
Rotten Pine Resin,http://darksouls.wikidot.com/rotten-pine-resin,Consumables
Fire Keeper Soul,http://darksouls.wikidot.com/fire-keeper-soul,Consumables
Soul of a Lost Undead,http://darksouls.wikidot.com/soul-of-a-lost-undead,Consumables
Large Soul of a Lost Undead,http://darksouls.wikidot.com/large-soul-of-a-lost-undead,Consumables
Soul of a Nameless Soldier,http://darksouls.wikidot.com/soul-of-a-nameless-soldier,Consumables
Large Soul of a Nameless Soldier,http://darksouls.wikidot.com/large-soul-of-a-nameless-soldier,Consumables
Soul of a Proud Knight,http://darksouls.wikidot.com/soul-of-a-proud-knight,Consumables
Large Soul of a Proud Knight,http://darksouls.wikidot.com/large-soul-of-a-proud-knight,Consumables
Soul of a Brave Warrior,http://darksouls.wikidot.com/soul-of-a-brave-warrior,Consumables
Large Soul of a Brave Warrior,http://darksouls.wikidot.com/large-soul-of-a-brave-warrior,Consumables
Soul of a Hero,http://darksouls.wikidot.com/soul-of-a-hero,Consumables
Soul of a Great Hero,http://darksouls.wikidot.com/soul-of-a-great-hero,Consumables
Soul of the Moonlight Butterfly,http://darksouls.wikidot.com/soul-of-the-moonlight-butterfly,Consumables
Soul of Quelaag,http://darksouls.wikidot.com/soul-of-quelaag,Consumables
Core of an Iron Golem,http://darksouls.wikidot.com/core-of-an-iron-golem,Consumables
Soul of Ornstein,http://darksouls.wikidot.com/soul-of-ornstein,Consumables
Soul of Smough,http://darksouls.wikidot.com/soul-of-smough,Consumables
Soul of Priscilla,http://darksouls.wikidot.com/soul-of-priscilla,Consumables
Guardian Soul,http://darksouls.wikidot.com/guardian-soul,Consumables
Soul of Sif,http://darksouls.wikidot.com/soul-of-sif,Consumables
Soul of Gwyndolin,http://darksouls.wikidot.com/soul-of-gwyndolin,Consumables
Soul of Artorias,http://darksouls.wikidot.com/soul-of-artorias,Consumables
Soul of Manus,http://darksouls.wikidot.com/soul-of-manus,Consumables
"Soul of Gwyn, Lord of Cinder",http://darksouls.wikidot.com/soul-of-gwyn-lord-of-cinder,Consumables
Alluring Skull,http://darksouls.wikidot.com/alluring-skull,Consumables
