entity,character,entity_type,context
"the Catacombs
Good day",PATCHES,ORG,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
"the Catacombs
Good day",PATCHES,ORG,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
"the Catacombs
Good day",PATCHES,ORG,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Trusty Patches,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Soul,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Soul,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Soul,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Soul,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Soul,LORD'S BLADE CIARAN,PERSON,"First time speaking to her without Soul of Artorias in inventory
…Are you human?
…I forgive you.
I am here to pay respects to a dear friend.
Please, allow me a moment alone.
First time speaking to her..."
Soul,LORD'S BLADE CIARAN,PERSON,"First time speaking to her without Soul of Artorias in inventory
…Are you human?
…I forgive you.
I am here to pay respects to a dear friend.
Please, allow me a moment alone.
First time speaking to her..."
Soul,LORD'S BLADE CIARAN,PERSON,"First time speaking to her without Soul of Artorias in inventory
…Are you human?
…I forgive you.
I am here to pay respects to a dear friend.
Please, allow me a moment alone.
First time speaking to her..."
Giants,PATCHES,ORG,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Giants,PATCHES,ORG,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Giants,PATCHES,ORG,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Firelink Shrine,PATCHES,ORG,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Firelink Shrine,PATCHES,ORG,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Firelink Shrine,PATCHES,ORG,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Lautrec the Embraced,PATCHES,WORK_OF_ART,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Lautrec the Embraced,PATCHES,WORK_OF_ART,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Lautrec the Embraced,PATCHES,WORK_OF_ART,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Lautrec the Embraced,PATCHES,WORK_OF_ART,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Treasures,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Treasures,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Treasures,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Treasures,PATCHES,PERSON,"Note: The dialogue will change slightly based on gender.
Note:
first meeting in the Catacombs
Good day! You look reasonably sane!
What are you doing in the Catacombs?
Are you a Cleric or something?
an..."
Artorias,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Artorias,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Artorias,DUSK OF OOLACILE,PERSON,"Darkroot Basin
Darkroot Basin
Speak to her after you kill the Golden Crystal Golem
So, it is thou who rescueth me?
Most graciuous. I am deeply obliged.
I am Dusk of Oolacile.
I cometh from an age long..."
Artorias,DUSK OF OOLACILE,PERSON,"Darkroot Basin
Darkroot Basin
Speak to her after you kill the Golden Crystal Golem
So, it is thou who rescueth me?
Most graciuous. I am deeply obliged.
I am Dusk of Oolacile.
I cometh from an age long..."
Artorias,DUSK OF OOLACILE,PERSON,"Darkroot Basin
Darkroot Basin
Speak to her after you kill the Golden Crystal Golem
So, it is thou who rescueth me?
Most graciuous. I am deeply obliged.
I am Dusk of Oolacile.
I cometh from an age long..."
Artorias,DUSK OF OOLACILE,PERSON,"Darkroot Basin
Darkroot Basin
Speak to her after you kill the Golden Crystal Golem
So, it is thou who rescueth me?
Most graciuous. I am deeply obliged.
I am Dusk of Oolacile.
I cometh from an age long..."
Artorias,DUSK OF OOLACILE,PERSON,"Darkroot Basin
Darkroot Basin
Speak to her after you kill the Golden Crystal Golem
So, it is thou who rescueth me?
Most graciuous. I am deeply obliged.
I am Dusk of Oolacile.
I cometh from an age long..."
Artorias,DUSK OF OOLACILE,PERSON,"Darkroot Basin
Darkroot Basin
Speak to her after you kill the Golden Crystal Golem
So, it is thou who rescueth me?
Most graciuous. I am deeply obliged.
I am Dusk of Oolacile.
I cometh from an age long..."
Artorias,DUSK OF OOLACILE,PERSON,"Darkroot Basin
Darkroot Basin
Speak to her after you kill the Golden Crystal Golem
So, it is thou who rescueth me?
Most graciuous. I am deeply obliged.
I am Dusk of Oolacile.
I cometh from an age long..."
Artorias,DUSK OF OOLACILE,PERSON,"Darkroot Basin
Darkroot Basin
Speak to her after you kill the Golden Crystal Golem
So, it is thou who rescueth me?
Most graciuous. I am deeply obliged.
I am Dusk of Oolacile.
I cometh from an age long..."
Artorias,HAWKEYE GOUGH,PERSON,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,PERSON,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,PERSON,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,PERSON,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,PERSON,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,ORG,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,PERSON,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,ORG,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,PERSON,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,ORG,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,PERSON,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,HAWKEYE GOUGH,ORG,"(First encounter)
Hm? A visitor, have we?
Thou must be the one who freed Artorias.
An old friend he was, and thanks to thee…
He left this world with honour intact.
…And here I am, retired and blind.
O..."
Artorias,MARVELLOUS CHESTER,PERSON,"Chester's dialogue, part 1
Chester's dialogue, part 2
(First encounter)
Hm…Oh, let me guess…
Snatched by a shadowy limb, and dragged off to the past?
(Yes/No)
Yes
Yes, of course. Exactly what happened..."
Artorias,MARVELLOUS CHESTER,PERSON,"Chester's dialogue, part 1
Chester's dialogue, part 2
(First encounter)
Hm…Oh, let me guess…
Snatched by a shadowy limb, and dragged off to the past?
(Yes/No)
Yes
Yes, of course. Exactly what happened..."
Artorias,MARVELLOUS CHESTER,PERSON,"Chester's dialogue, part 1
Chester's dialogue, part 2
(First encounter)
Hm…Oh, let me guess…
Snatched by a shadowy limb, and dragged off to the past?
(Yes/No)
Yes
Yes, of course. Exactly what happened..."
Artorias,MARVELLOUS CHESTER,PERSON,"Chester's dialogue, part 1
Chester's dialogue, part 2
(First encounter)
Hm…Oh, let me guess…
Snatched by a shadowy limb, and dragged off to the past?
(Yes/No)
Yes
Yes, of course. Exactly what happened..."
Alvina,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Alvina,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Alvina,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Alvina,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Alvina,SHIVA OF THE EAST,GPE,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
Alvina,SHIVA OF THE EAST,GPE,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
Alvina,SHIVA OF THE EAST,GPE,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
Alvina,SHIVA OF THE EAST,GPE,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
the Darkroot Wood,ALVINA OF THE DARKROOT WOOD,ORG,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
