entity,item,entity_type,context
Soul,Fire Keeper Soul,PERSON,"Soul of a long-lost Fire Keeper. Each Fire Keeper is a corporeal manifestation
of her bonfire, and a draw for the humanity
which is offered to her. Her soul is gnawed
by infinite humanity, and can boo..."
Soul,Core of an Iron Golem,PERSON,"Soul serving as the core of the Iron Golem, guardian of Sen's Fortress, and slayer of countless heroes seeking Anor Londo. Originally a bone of an everlasting dragon. Use to acquire a huge amount of s..."
Lautrec the Embraced,Gauntlets of Favor,WORK_OF_ART,"Gauntlets of Lautrec the Embraced,
representing the goddess Fina's love. During his solitude, he forsook everything,
for he believed in the goddess's love for
him."
Artorias,Soul of Artorias,PERSON,"Soul of Lord Gwyn's Knight Artorias,
who was consumed by the Abyss. The legend that Artorias repelled the Abyss
only told half the story. It seems that he was defeated, and his
honor preserved, by som..."
Artorias,Covenant Of Artorias,PERSON,"This ring symbolizes Knight Artorias's
covenant with the beasts of the Abyss. It's wearer, like Artorias himself, can
traverse the Abyss."
Alvina,Cat Covenant Ring,GPE,"Ring granted to those bound by the
Forest Hunter covenant.
Answer Alvina's summoning. The white cat Alvina speaks a human tongue
and has lived since the early Age of Fire.
Alvina was a trusted friend ..."
Alvina,Cat Covenant Ring,GPE,"Ring granted to those bound by the
Forest Hunter covenant.
Answer Alvina's summoning. The white cat Alvina speaks a human tongue
and has lived since the early Age of Fire.
Alvina was a trusted friend ..."
Alvina,Ring of Fog,GPE,"Those who befriend Alvina are given
this mysterious ring. It resembles a pearl with
its robust pure-white fog. The ring camouflages its wearer's
presence, helping to prevent detection."
East,East Wood Grain Ring,LOC,"This special ring crafted in an Eastern land
is made of gold, but with a wood grain crest
on its surface. The ring slows the loss of weapon durability
and is particularly useful to bearers of
delicate..."
East,Eastern Helm,LOC,"A distinctive helm made in an Eastern land. Exquisitely crafted, this helm offers
excellent defense, particularly versus slash
attacks, which are one of the main threats in
battles in the East."
East,Eastern Armor,LOC,"A distinctive armor made in an Eastern land. Exquisitely crafted, this armor offers
excellent defense, particularly versus slash
attacks, which are one of the main threats in
battles in the East."
